Reference,Whisper_Transcription,Gemini_Transcription
CÂY CỔ THỤ ẤY BẤT CHỢT BỊ BỆNH TẬT QUẬT NGÃ, Cây cổ thụ ấy bất chợt bị bệnh tập quật ngã,"Cây cổ thụ ấy bất chợt bị bệnh tật quật ngã.
"
ÁN MẠNG TRÊN TOA TÀU TỐC HÀNH, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,"Án mạng trên toa tàu tốc hành.
"
HAI MƯƠI HAI HAI MƯƠI BA," 22, 23","22 23
"
VỚI NGƯỜI MẸ Ở XÓM CHÀI LONG BIÊN, Với người mẹ ở xóm trài Long Biên,Với người mẹ ở xóm chài Long Biên.
VÌ KHÔNG CÓ TIỀN ĐÓNG HỌC PHÍ, Vì không có tiền đóng hợp phí,Vì không có tiền đóng học phí.
NÓ LẬT ĐẬT ĐẠP CHIẾC XE CÀ TÀNG BĂNG NGAY RA ĐẦU ĐƯỜNG, Nó lật đặt đạp chiếc xe cà tàn băng ngay ra đầu đường.,Nó lặt đặt đạp chiếc xe cà tàn băng ngay ra đầu đường.
ĐẠO DIỄN TRẺ NÀY CÓ NHIỀU ĐIỀU NGẪM NGỢI VỀ NGHỀ, Đạo diễn trẻ này có nhiều điều ngắm ngợi về nghề,Đạo diễn trẻ này có nhiều điều ngẫm ngợi về nghề.
TÔI CHẾT CÙNG VỚI ÁNH TRĂNG, Tôi chết cùng với ánh trăng.,Tôi chết cùng với linh trang.
KHÔNG MỘT HAI BA BỐN," 0, 1, 2, 3, 4.","Không 1 2 3 4.
"
LÀ TƯƠNG ĐỐI CÓ HIỆU QUẢ, là tương đối có hiệu quả.,là tương đối có hiệu quả.
KẾT QUẢ CHỈ CÓ VỎN VẸN BA NGƯỜI CÒN BIẾT DỆT, Kết quả chỉ có vọn vẹn 3 người còn biết dẹp.,Kết quả chỉ có vỏn vẹn ba người còn biết dệt.
NÓI THẬT ĐẤY À,น้อยถักเนี่ย,Nói thật đấy à.
BỞI CƠ QUAN CHUYÊN MÔN HOẶC THUÊ TỔ CHỨC KIỂM TOÁN ĐỘC LẬP, Bởi cơ quan chuyên môn hoặc thê tổ chức kiểm toán độc lập,"Bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập.
"
NƯỚC GỖ TRÊN CHIẾC ĐỒNG HỒ ĐÃ BẮT LÊN MÀU GỤ BÓNG LOÁNG, Nước gỗ trên chiếc đồng hồ đã bắt lên màu vụ bóng loán,Nước gỗ trên chiếc đồng hồ đã bắt lên màu rụ bóng loáng.
ĐỪNG ĐỂ CON SÂU ĂN, Đừng để con sau ăn.,"Đừng để con sâu ăn.
"
KHI TÔI LÀ CON BÉ LỚP BỐN THÌ CÂY VẢ ĐÃ CAO QUÁ NÓC NHÀ, Khi tôi là con bé lớp 4 thì cây vả đã cao quá nóc nhà.,"Khi tôi là con bé lớp bốn thì cây vả đã cao quá nóc nhà.
"
THAM GIA GIẢNG DẠY LÀ LỰC LƯỢNG ĐOÀN VIÊN, Tham gia giảng dạy là lực lượng đoàn viên,Tham gia giảng dạy là lực lượng đoàn viên.
HAY ĐẢM BẢO RẰNG NGÀY NÀO CHÚNG CŨNG ĐƯỢC ĐI NHỮNG ĐÔI TẤT SẠCH, 2. Đảm bảo rằng ngày nào chúng cũng được đi những đôi tất sạch,Hai đảm bảo rằng ngày nào chúng cũng được đi những đôi tất sạch.
VIỆC ĐƯA TÍN HIỆU TRUYỀN HÌNH TRỰC TIẾP BẰNG HỆ THỐNG CÁP QUANG, Việc đưa tín hiệu truyền hình trực tiếp bằng hệ thống cấp quan,"Việc đưa tín hiệu truyền hình trực tiếp bằng hệ thống cáp quang.
"
GIÀU ĐỔI BẠN SANG ĐỔI VỢ," Giàu đổi bạn, sáng đổi vợ.","Sao đó bạn, sang đói vợ."
SẼ KHÔNG KHIẾN BẠN TRÔNG GẦY NHƯ NHỮNG TRANG PHỤC MỘT MÀU, sẽ không khiến bạn trông gầy như những trang phục một màu.,"sẽ không khiến bạn trông gầy như những trang phục một màu.
"
TỨC CHANH CÓ THỂ TRỊ ĐƯỢC BỆNH, Tức canh có thể trị lụt bệnh.,"Tức tranh có thể gây đột quỵ.
"
VỪA ĐƯỢC TRAO TẶNG GIẢI THƯỞNG NHÀ NƯỚC," Vời ở cao cảnh, giải hở ngàn ớt","Vừa ở cao cảnh, giải thưởng đang ở."
CHỈ MUỐN LÀM MỘT HƠI CHO ĐÃ CÁI MIỆNG, Chỉ muốn một hơi cho ả cái miệng.,chỉ muốn làm một hơi trồi ả cái lưỡi.
KHI BỊ CÔNG AN THỘP CỔ KHẨN CẤP, khi bị công an hợp cổ thẩn cấp.,"H bị công an hợp cổ hẫn trất.
"
VỚI MỘT TỐC ĐỘ MÀ CHÚNG TA KHÔNG THỂ ĐI ĐẾN TẬN CÙNG CỦA NÓ, với một cốc độ mà chúng ta không thể đi đến cận cùng của nó.,Với một tốc độ mà chúng ta không thể đi đến tận cùng của nó.
TỪ TRÊN NÓC NHÀ NHÌN XUỐNG CÓ KHÁC, Cừ trên ngóc nhà nhìn xuống có hát,từ trên nóc nhà nhìn xuống thấy.
NGOÀI TRỜI MƯA CỨ LAY PHAY RẮC HẠT," Ngoài trời mưa, tứ đây phay gắt hạt","Ngoài trời mưa, cứ bay phây gắt hết.
"
MỘT TRĂM MỘT HAI BA, 100 123,"100, 102, 103.
"
VIỆC ÁP DỤNG CẢ BÀN VÁ LỖI VÀ CÔNG CỤ QUÉT, Việc áp dụng cả bàn bá lỗi và công cụ quét.,"Việc áp dụng cả bàn ba lỗi và công cụ quên lịch.
"
CAO NGỒNG NGỒNG, Cao ngọng ngọng,cao ngồng ngồng.
CHÍNH PHỦ ĐỒNG THỜI CŨNG LẬP THÊM CỤC XÚC TIẾN TIÊU THỤ DẦU CỌ," Chính phủ ông Hồi cũng gặp thêm cục xúc kiến, kêu hậu dầu cọ.",Chính phủ đồng thời cũng lập thêm cục xúc kiến kêu gọi dầu cỏ.
CŨNG LÀ TIN VUI CHO TẤT CẢ NHỮNG AI, Cũng là kinh vui cho các cả những ai,cũng là tin vui cho tất cả những ai.
THUA XA TIỆM TẠP HOÁ NHÀ TAO, Husa kiểm cạp hóa nhà cao,"Hô gia, kìm cặp hóa nha con.
"
MÀ DUNG DĂNG NHÉ CẦM TAY ĐẤT TRỜI, Mà dung danh nhé cầm cây đất trời,"ma duyn danh yeah, cầm ca lý trời."
ĐIỀU NÀY ĐÚNG VỚI MỌI CẤP ĐỘ VÀ TRONG MỌI LĨNH VỰC CỦA ĐỜI SỐNG, Điều này đúng với mọi cấp độ và trong mọi ảnh vực của lời sống.,Niềm tin ngày đúng với mọi cấp độ và trong mọi lĩnh vực của đời sống.
HƯỢM ĐÃ CÒN PHẢI ĐIỀU CHỈNH, Hôm đã còn phải điều chỉnh.,Hôm đã còn phải đợi lâu.
TÔI THẤY ĐỒNG LƯƠNG CỦA MÌNH NĂM NĂM RỒI VẪN ĐỨNG NGUYÊN, Cô thấy lòng lôn của mình 5 năm rồi vẫn ứng nguyên.,"Tôi thấy lòng lương của mình ngăm ngăm rồi vẫn đứng nguyên.
"
SÁU MƯƠI SÁU MƯƠI MỐT," 60, 61",60 61 62
LÀM ĐƯỜNG SÁ NGẬP XẮP XẮP QUANH NĂM SUỐT THÁNG," Đàm đường trá ngập sắp sắp, quanh ngâm chút hán","Đường xá ngập sấp sắp, quanh ngâm suốt hai."
TÔI LỚN LÊN TRONG SỰ GHẺ LẠNH CỦA NGƯỜI MẸ KẾ, Cô lớn lên trong sự rẽ lạnh của người mẹ kế.,Cưi lớn lên trong sự ghẻ lạnh của người mẹ kế.
NUÔI MÔ HÌNH TINH HOÀN RỒI TẠO RA TINH HOÀN VỚI ĐẦY ĐỦ HÌNH HÀI, Ngôi mô hình kinh hoàng rồi cạo ra kinh hoàng với đầy đủ hình hài,"Ngôi mô hình kinh hoàng rồi cạo ra kinh hoàng, với đầy đủ hình hài."
TÁM MƯƠI BỐN TÁM MƯƠI LĂM," Cám 14, cám 15","84 85
"
NGA KHI ẤY CÀNG THÌN NẾT NA, Nga khi ấy càng nhìn ngớt Nga.,"Nga Hy ấy càng nhìn ngơ ngác.
"
KHUNG RĂNG HÀM TRÊN KHUM, Khung ranh hàm trên hung,"hưng oanh hàm chân không.
"
TRONG TÌNH THẾ ẤY CHỈ ĐÁM TRẺ VEN SÔNG, Trong kình thế ấy chỉ đám kẻ ven sông,Trong cảnh thế ấy chỉ đám kẻ quen sống.
BẢY MƯƠI BỐN BẢY MƯƠI LĂM," 74, 75","74, 75."
THẾ NHƯNG TÔI KHÔNG ÂN HẬN KHI TRỞ THÀNH ĐẢ NỮ, Thế nhưng tôi không ân hận khi trở thành đảng nữ.,"Thế nhưng, tôi không ân hận khi trở thành đại ngữ.
"
SAU KHI ĐỌC NHỮNG THÔNG TIN TRÊN BÁO, Sau khi lọc những thông kinh trên báo,"Sau khi đọc những thông tin trên báo,"
CHÀNG TRAI LỒM CỒM BÒ DẬY MẶT MÀY XANH LÉT NHƯ TÀU LÁ CHUỐI," Chàng trai đồm còm bò dậy, mạch mài xanh đét, như cào gá chuối","Càng trai, đầu còm bò dậy, mạch mài xanh lét, như cào lá chuối."
CÁI KHÓ LÀ, Cái hóa à?,cái khó à?
ĐỂ CHẤM DỨT NẠN BẠO HÀNH TRONG GIA ĐÌNH, để cấm dứt ngạn bạo hành trong gia đình.,để chấm dứt ngãn bảo hành trong liên.
CHÍN MƯƠI SÁU CHÍN MƯƠI BẢY," 96, 97","96, 97."
NẾU ĐI TIẾP NHA TRANG, Nghĩ huy kếp nha Trang,Nghe uy tín đó.
BA MƯƠI BA MƯƠI MỐT," 30, 31","30, 31."
KHÔNG HAI BỐN SÁU TÁM, Hồng 2 4 6 8,0 2 4 6 8
HAI MƯƠI TÁM HAI MƯƠI CHÍN," 28, 29.","28, 29,"
TỘI NGHIỆP ĐỨA NHỎ KHÔNG AI CHĂM SÓC, Cõi nghiệp đứa nhỏ không ai chăm sóc,Tội nghiệp đứa nhỏ không ai chăm sóc.
TIỀN ĐIỆN THÁNG NÀY BAO NHIÊU, Tiền yển tháng ngày bao nhiêu?,"kiền yễn, tháng 3."
EM SỢ CÓ MỘT NGÀY ANH GẶP NGƯỜI CON GÁI KHÁC TỐT HƠN EM RỒI ANH BỎ EM," Em sợ có một ngày anh gặp người con gái khác có phân em, rồi anh bỏ em.","Em sợ có một ngày anh gặp người con gái khác, có hơn em rồi anh bỏ em."
CÓ THỂ GIÚP TA QUÊN ĐI NHỮNG NỖI ƯU PHIỀN, có thể giúp ca quên đi những nỗi u phiền.,"Tập trung vào hiện tại, tìm kiếm những niềm vui mới, và tìm một người để chia sẻ."
TÔI ĐÃ CÓ THỜI GIAN TUYỆT VỜI KHI CHƠI CHO ĐỘI TUYỂN, Tôi đã có thời gian tuyệt vời khi chơi cho đội tuyển.,"Tôi đã có thời gian tuyệt vời khi chơi cho đội tuyển.
"
TÔI LÀ MỘT NGƯỜI MIỀN TÂY ĐANG LÀ NGHIÊN CỨU SINH Ở MỸ, Tôi là một người miền Tây đang là nghiên cứu sinh ở Mỹ.,Tôi là một người miền Tây đang là nghiên cứu sinh ở Mỹ.
THAM GIA THIẾT KẾ LĂNG CHỦ TỊCH HỒ CHÍ MINH THÌ CÓ NHIỀU NGƯỜI, Tham gia thiết kế lăng Chủ tịch Hồ Chí Minh thì có nhiều người.,tham gia thiết kế lăng Chủ tịch Hồ Chí Minh thì có nhiều người.
MINH NHẬT HỒNG QUÂN VŨ CÔNG THÀNH SƯU TẦM TỪ BÁO NƯỚC NGOÀI, Minh Quân Hồng Quân Bủ Công thành sưu tập từ báo nước ngoài,"Minh Quân, Hồng Quân, Phủ Công Thành sưu tập từ báo nước ngoài.
"
YẾU TỐ HẤP DẪN MỚI THU HÚT ĐẦU TƯ NƯỚC NGOÀI VÀO VIỆT NAM, Yếu tố hấp dẫn mới thu hút đầu tư nước ngoài và Việt Nam,Yếu tố hấp dẫn mới thu hút đầu tư nước ngoài vào Việt Nam.
YÊU NHAU KHOẢNG VÀI THÁNG THÌ CHÚNG TÔI ĐÃ CÓ QUAN HỆ TÌNH DỤC, yêu nhau khoảng vài tháng thì chúng tôi đã có quan hệ,Yêu nhau khoảng vài tháng thì chúng tôi đã có quan hệ.
CÀNG ĐI SÂU VÀO BÊN TRONG CẢNH TRÍ THIÊN NHIÊN CÀNG HÙNG VĨ," Càng đi sâu vào bên trong, cảnh trí thiên nhiên càng hùng vĩ",Càng đi sâu vào bên trong cảnh trí thiên nhiên càng hùng vĩ.
MỘT GÓC CÂU CÁ TRÊN CẦU SÀI GÒN ẢNH MAI VINH, Một góc câu cá trên cầu Sài Gòn ảnh Mai Vinh,một góc câu cá trên cầu Sài Gòn ảnh Mai Vinh
BẠN CÓ THỂ THAM KHẢO MỘT SƠ YẾU LÝ LỊCH ĐIỆN TỬ SAU ĐÂY, Bạn có thể tham khảo một số sơ ý lý lịch điện tử sau đây.,"Bạn có thể tham khảo một số sơ ý lý lịch điện tử sau đây.
"
THÌ NGƯỜI XEM CŨNG ĐƯỢC NÂNG CAO KIẾN THỨC VỀ ĐỊA LÝ, thì người xem cũng được nâng cao kiến thức về địa lý,"thì người xem cũng được nâng cao kiến thức về địa lý.
"
KHÓ SAO DUYÊN DÁM CHO ANH UỐNG RƯỢU TRONG ĐÁM CƯỚI, Khó sao duyên dám chanh uống rượu trong đám cưới,Khó sao duyên giám cho anh uống rượu trong đám cưới.
CÓ BẰNG THẠC SĨ NHỮNG NGÀNH TRÊN LÀ MỘT LỢI THẾ, có bằng thạc sĩ nhưng ngành trên là một lợi thế,Có bằng thạc sĩ nhân ngành trên là một lợi thế.
NGÀY XƯA CÁC CỤ LÀM BÌA SÁCH LÀ MINH HOẠ CHO CUỐN SÁCH ĐÓ, Ngày xưa các cụ làm bề sách là minh họa cho cuốn sách đó,Ngày xưa các cụ làm bìa sách là minh họa cho cuốn sách đó.
CHÚ BỘ ĐỘI QUA NHỮNG CÂU CHUYỆN CỦA ÔNG MỚI GẦN GŨI LÀM SAO, Chú bộ đội qua những câu chuyện của ông mới gần gũi làm sao?,Chú bộ đội qua những câu chuyện của ông mới gần gũi làm sao.
NHẠC SĨ LA HỐI VỚI CA KHÚC XUÂN VÀ TUỔI TRẺ, Nhạc sĩ la hối với ca khúc Xuân và Tuổi Trẻ,Nhạc sĩ La Hối với ca khúc Xuân và tuổi trẻ.
MỘT VÀI NGƯỜI TRONG BỌN HỌ ĐƯA MẮT NHÌN MẢNH GIẤY, Một vài người trong bọn họ đưa mắt nhìn mảnh giấy,Một vài người trong bọn họ đưa mắt nhìn mảnh giấy.
MỘT SỐ BẠN TRẺ CŨNG CÓ Ý NGHĨ NHƯ CAO CƯỜNG, Một số bạn chị cũng có ý nghĩ như Cao Cường.,Một số bạn trẻ cũng có ý nghĩ như Cao Cường.
NHIỀU GIA ĐÌNH HIỆN NAY THÍCH TỰ GIỚI THIỆU CHƯƠNG TRÌNH, Nhiều gia đình hiện nay thích tự giới thiệu chương trình,"Nhiều gia đình hiện nay thích tự giới thiệu chương trình.
"
VÌ VẬY CÔNG TY B PHẢI CÓ TRÁCH NHIỆM BỒI THƯỜNG," Vì vậy, công ty B phải có trách nhiệm bồi thường.","Vì vậy, công ty B phải có trách nhiệm bồi thường."
MONG BẠN BÌNH TÂM SUY NGHĨ VÀ CHỌN ĐƯỢC CÁCH GIẢI QUYẾT TỐT NHẤT, Mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất.,Mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất.
TÔI ĐÃ NHIỀU LẦN PHẢN ĐỐI QUYẾT LIỆT VIỆC NƯỚC THẢI TUỒN RA NGOÀI, Tôi đã nhiều lần phản đối quyết liệt việc nước thải tuồn ra ngoài.,Tôi đã nhiều lần phản đối quyết liệt việc nước thải tuôn ra ngoài.
HƠN LÀ DẪN DẮT CÁC EM THEO CHỦ Ý CỦA GIÁO VIÊN, hơn là dẫn dắt các em theo chủ ý của giáo viên.,"Hơn là dẫn dắt các em theo chủ ý của giáo viên.
"
BỐN NĂM TRỜI BỊ CÂM MỘT MÌNH VỚI BÓNG MÌNH NHIỀU PHEN ÒA KHÓC," 4 năm trời bị căm một mình với bóng, mình nhiều phen à khóc.","bốn năm trời bị cam một mình với bóng, mình nhiều phen oằn khóc."
HẮN THAY ĐỔI LẦM LÌ SAU KHI THEO GIA ĐÌNH ĐẾN XỨ NGƯỜI, Hắn thay đổi làm lì sau khi theo gia đình đến xứ người,"Chăm chỉ, siêng năng, cần cù, cố gắng, chịu khó."
THỈNH THOẢNG CON ĐI QUA DỪNG LẠI DỰNG XE NGỒI HÚT THUỐC, Thỉnh thoảng con đi qua dừng lại dừng xe ngồi hút thuốc,Thỉnh thoảng con đi qua dừng lại dựng xe ngồi hút thuốc.
ÔNG DƯƠNG ĐỨC LÂN PHÓ TỔNG CỤC TRƯỞNG TỔNG CỤC DẠY NGHỀ, Ông Dương Đức Lân Phó Tổng cục trưởng Tập Cục Chạy Nghề,"Ông Dương Đức Lân, phó tổng cục trưởng Tổng cục dạy nghề."
VẬY AI SẼ CHỊU TRÁCH NHIỆM VỀ NHỮNG TRƯỜNG HỢP NÀY, Vậy ai sẽ chịu trách nhiệm về những trường hợp này?,Vậy ai sẽ chịu trách nhiệm về những trường hợp này?
NÔNG DÂN TRỒNG MÍA THAN CỨ MỘT VỤ ĐƯỢC LẠI BA VỤ THẤT, Nông dân trồng mía thang cứ một vụ lại được ba vụ thức,nông dân trồng mía than cứ một vụ lại được ba vụ thức.
TRÒ ĐÙA ĐỐI VỚI THẦY NHƯNG LẠI LÀ CHÂN THẬT CHÂN THẬT VỚI MỘT NGƯỜI, Trò đùa đối với thầy nhưng lại là chân thật chân thật với một người,"Trò đùa đối với thầy nhưng lại là chân thật, chân thật với một người.
"
VẬY MÀ GIỜ ĐÂY NÓ KHÔNG ĐỢI ĐƯỢC ĐẾN LÚC HUY VỀ, Vậy mà giờ đây nó không đợi được đến lúc Huy về,"Vậy mà giờ đây nó không đợi được đến lúc Huy về.
"
MUỐN CÓ BẰNG LÁI PHẢI QUA MỘT ĐỢT THI RẤT KHẮT KHE, Vốn có bằng lái phải qua một đợt thi rất khát khe,muốn có bằng lái phải qua một đợt thi rất khắt khe.
TUY PHÍA TRƯỚC CÒN VÔ VÀ KHÓ KHĂN ĐỐI VỚI CON, Tuy phía trước còn vô và khó khăn đối với con,tuyết thế trước còn vô và khó khăn đối với con.
NHƯNG TRƯỚC ĐÂY NHÌN TỪ BÊN NGOÀI NƠI NÀY KHÔNG KHÁC MỘT CĂN NHÀ HOANG, Trước đây nhìn từ bên ngoài nơi này không khác gì một căn nhà hoang,trước đây nhìn từ bên ngoài nơi này không khác gì một căn nhà hoang.
EM SỢ MẤT ANH ẤY NHƯNG LẠI CẢM THẤY MÌNH BỊ XÚC PHẠM, Em sợ mất anh ấy nhưng là cảm thấy mình bị xúc phạm,"Em sợ mất anh ấy nhưng lại cảm thấy mình bị xúc phạm.
"
NGƯỜI PHÁP ĐÃ ĐỒNG Ý VỚI CÁCH QUẢN LÝ LĨNH VỰC DÀNH RIÊNG, Người Pháp đã đồng ý với cách quản lý lĩnh vực dành riêng.,"Người Pháp đã đồng ý với cách quản lý lĩnh vực danh riêng.
"
ĐÓ LÀ NHẬN XÉT CHUNG CỦA NHIỀU TỔNG GIÁM ĐỐC ĐIỀU HÀNH NGÀY NAY, Đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay,Đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay.
CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT, Có nhưng phải là thuốc đặc trị của pháp hiếm vật cực kỳ đắt,"Có, nhưng phải là thuốc đặc trị của pháp hiếm và cực kỳ đắt."
ĐỐI XỬ VỚI BẠN NHƯ NGƯỜI YÊU CŨ CỦA BẠN ĐÃ TỪNG LÀM, Đối xử với bạn như người yêu cũ của bạn đã từng làm,Đối xử với bạn như người yêu cũ của bạn đã từng làm.
BIÊN CHẾ NÀY NHÀ THANH GỌI LÀ AN NAM QUỐC NHẠC, Biên chế này nhà Thanh gọi là An Nam Quốc Nhạc.,biên chế này nhà Thanh gọi là An Nam Quốc Điền.
RẠCH BÀU MỚP, Rạch bào mướp,Rạch Bầu Mứt.
ĂN CÁ NGỪ CÁ THU VÀ CÁ MÒI VỚI RAU TRỘN, Ăn cá ngự cá thu và cá mòi với rau trộn,"ăn cá ngừ, cá thu và cá mòi với rau trộn.
"
ĐÓ CŨNG LÀ ĐỘNG LỰC THÚC ĐẨY TÔI, Đó cũng là động lực thúc đẩy tôi.,Đó cũng là động lực thúc đẩy tôi.
CHỦ TỊCH NƯỚC ĐÃ ĐẾN KIỂM TRA TIẾN ĐỘ THI CÔNG, Chủ tịch nước đã đánh kiểm tra tiến độ thiết công.,Chủ tịch nước đã đến kiểm tra tiến độ thi công.
BA NÀY CHỈ GIỎI BỐC PHÉT, Ba này chỉ dõi bốc phát,"ba này, chị giỏ bốc phép.
"
CÔ CHỈ MỚI VÀO LƯỚI NHẶT BÓNG HAI LẦN, Cua chỉ mới vào lưới nhặt bóng 2 lần.,Cua chỉ mới vào lưới nhặt bóng hai lần.
NGOÀI VIỆC PHÁT HIỆN KẺ THÙ, Ngoài việc phát hiện cái thù,Ngoài việc phát hiện kẻ thù.
CON NHỎ MỞ CÁI TÚI GÚT ĐEO TRÊN CỔ, Con nhỏ mở cái túi gút đeo trên cổ.,"Con nhỏ mở cái túi rút đeo trên cổ.
"
ANH KHEN EM ĐẸP EM CHÊ ANH GIÀ," Anh khen em đẹp, em chia anh già.","Anh khen em đẹp, em chê anh già."
VÌ TỐI ĐÓ, Vì tới đó,"vì tới đó.
"
CŨNG CHẲNG CÒN XÚNG XÍNH QUẦN ÁO MỚI, Cũng chẳng còn súng xính quần áo mới.,cũng chẳng còn sung sính quần áo mới.
ANH ĐI CÔNG TÁC CẦN THƠ TUẦN SAU MỚI VỀ, Anh đi công tác Cần Tha tuần sau mới về.,Anh đi công tác Cần Thơ tuần sau mới về.
NGỦ TRÊN NỆM KHÔNG PHÙ HỢP, Ngủ tranh niệm không phù hợp,Ngủ trê nệm không phù hợp.
NHẬN ĐƯỢC TIN NÀY GỌI LẠI CHO TÔI GẤP, Nhận được tin này gọi lại cho tôi gấp.,"Nhận được tin này, gọi lại cho tôi gấp.
"
NHẰM TẠO RA SỰ HẤP DẪN, Nhằm tạo ra sự hấp dẫn,"nhằm tạo ra sự hấp dẫn.
"
ĐÔI KHI BẠN CŨNG CÓ THỂ LÀM NHỮNG ĐIỀU ĐÓ, Đôi khi bạn cũng có thể làm những điều đó.,Đôi khi bạn cũng có thể làm những điều đó.
CHÍNH BÀ CŨNG LÀ NGƯỜI NUNG NẤU NIỀM ĐAM MÊ DIỄN XUẤT CỦA CÔ CON GÁI, Chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái,Chính bà cũng là người nung nấu niềm đam mê diễn xuất của cô con gái.
THỨ ÂM THANH KHÔNG CHỈ CẢM NHẬN BẰNG THÍNH GIÁC, Thứ âm thanh không chỉ cảm nhận bèn tính giấc.,"thứ âm thanh không chỉ cảm nhận bằng thính giác.
"
TỪ NỖI CÔ ĐƠN CỦA MỘT CÔ BÉ BỊ CHA MẸ BỎ QUÊN, Từ nữ cô đơn của một cô bé bị cho mẹ bỏ quen,Từ nỗi cô đơn của một cô bé bị cha mẹ bỏ quên.
TÔI KHÔNG NỠ LÀM CÔ BÉ THẤT VỌNG, Tôi không nở làm cô bé thất vọng.,Tôi không nỡ làm cô bé thất vọng.
CÓ TRẢ TIỀN CHO BỐ KHÔNG THÌ BẢO, Có trả tiền cho bố không thì bảo,"Có trả tiền cho bố, không thì báo.
"
MỘT LÀ GẶP LẠI TẤT CẢ CÁC EM PHÒ, Một là gặp lại tất cả các em phò.,"một là gặp lại tất cả các em phòng.
"
TAY KIA XÁCH MỘT TAY GIÓNG MANG CHIẾC VỊM LỚN, Tay kia sách một tay giống mang chức vượm lấn.,"Tay kia sách một tay giống mang chức vị lớn.
"
NHỮNG NGÀY ĐẦU VẮNG BÓNG BA VIỆT CỨ THỪ NGƯỜI NGHĨ NGỢI, Những ngày đầu ván bóng ba miệng Cứ thử người nghĩ ngửi,Những ngày đầu ván bóng ba miệt cứ thư người nghỉ ngơi.
BÀ NÓI, Bà nói,Bà nói.
RẤT NHIỀU GỬI GẮM VÀ KỲ VỌNG VÀO ÔNG, Rất nhiều gửi gắm và kỳ vọng vào ông.,"Rất nhiều gửi gắm và kỳ vọng vào ông.
"
NGHĨA LÀ KÉM CỎI NAM TÍNH HAY SAO," Nghĩa là kiếm cỏ, non tính hay sâu",Kiếm cỏ nom tính hay sao?
CAM SÀNH LỘT VỎ CÒN CHUA, Công sành lọc vỏ còn chưa,"Công danh lộc võ công chưa.
"
CHO TÔI NHẮN ĐẠI TIN NÀO CŨNG ĐƯỢC, Cho tôi nhấn đại tin nào cũng được,"Cho tôi nhấn đài tin nào cũng được.
"
ĐANG THẢO LUẬN VỀ ĐỀ XUẤT, Đăng thảo luận về đề xuất.,đang thảo luận về đề xuất.
CHÁU SỐT NÊN RẸO RỌC SUỐT ĐÊM, Cháo sốc nanh rẹo rọc suốt đêm,"Cháu sốc nên réo rọc suốt đêm.
"
TRƠ TRỌI GIỮA ĐỒNG CÁI NHÌN KHẮC KHOẢI, Trơ trại giữa đồng cái nhìn khoắc khoải,"trơ trọi, giữa đồng cái nhìn khoác khoải.
"
NHỮNG SAI LẦM KHI ĐI CHỌN KHÁCH SẠN, Những sai lầm khi đi chọn khách sạn,Những sai lầm khi đi chọn khách sạn.
GÍ HÒN THAN VÀO RƠM, Ghi hoàn thân vào rương,"ghí hoạn thân vào rơm.
"
SẼ KHÔNG KHIẾN BẠN TRÔNG GẦY NHƯ NHỮNG TRANG PHỤC MỘT MÀU, Sẽ không khiến bạn trông gài như những trang phục một màu,sẽ không khiến bạn trông gầy như những trang phục một màu.
NHÓM SINH VIÊN TẠI TRƯỜNG CÙNG HỌP MẶT ĂN TẾT CHUNG, Nhóm sinh viên tại trường cùng họp mặt ăn tích chung.,Nhóm sinh viên tại trường cùng họp mặt ăn tất chung.
BỊ CÁC CÔ GÁI BAO VÂY RÁO RIẾT, Bị có cô gái bao vây ráo riết,"bị các cô gái bao vây ráo riết.
"
HOẶC CHỈ BIỂU HIỆN BẰNG CÁC RỐI LOẠN CO BÓP, Hạt chỉ biểu hiện bằng các rối loạn co bóp.,Hạch chỉ biểu hiện bằng các rối loạn co bóp.
CHẠM VÀO PHẦN THÓP MỀM TRÊN ĐẦU BÉ, Chạm vào phần thóp mềm trên đầu bé.,chạm vào phần thóp mềm trên đầu bé.
VÀ TÔI THẤY HOA VẠN THỌ VÀNG ƯƠM, Và tôi thấy hoa vắng thỏ vàng ơm.,"và tôi thấy hoa vạn thọ vàng ươm.
"
VÌ ĐÓ MỚI CHÍNH LÀ THỨ BẠN CẦN, Vì đó mới chính là thứ bạn cần,"Vì đó mới chính là thứ bạn cần.
"
ĐẦU TIÊN LÀ BÀ CON MÌNH VẬT VÃ LÀM ĂN, Đầu tiên là bà con mình vật vã làm ăn.,Đầu tiên là bà con mình vất vả làm ăn.
NHƯ LẦN NÀY ĐƯỢC NẾM MÓN GIÒ THỦ HOÀN TOÀN LÀM TỪ TAI HEO, Như lần này được đếm món giò thủ hoàn toàn làm từ tai heo,Như lần này được đếm món giò thủ hoàn toàn làm từ tai heo.
