Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
THỜI HẠN SỬ DỤNG VÀ LOẠI SẢN PHẨM BỘT, Thời hạn sử dụng và loại sản phẩm bột,"Thờ hạn sử dụng và loại sản phẩm bột.
",thời hạn sử dụng và loại sản phẩm bột,thời hạn sử dụng và loại sản phẩm bột,thờ hạn sử dụng và loại sản phẩm bột,0,0.1111
BỌN BUÔN LẬU MA TÚY VÀ VŨ KHÍ, Bọn buôn lậu ma túy và vũ khí,Bọn buôn lậu ma túy và vũ khí.,bọn buôn lậu ma túy và vũ khí,bọn buôn lậu ma túy và vũ khí,bọn buôn lậu ma túy và vũ khí,0,0
NGHE TIẾNG XÌNH XỊCH XA XA THÌ ĐOÁN TRÚNG PHÓC LÀ HÚT HẦM CẦU, Nghe tiếng xình xịt xa xa thì đoán trúng phóc là hút hầm câu,nghe tiếng sình sịch xa xa thì đoán trúng phóc là hút hầm cầu.,nghe tiếng xình xịch xa xa thì đoán trúng phóc là hút hầm cầu,nghe tiếng xình xịt xa xa thì đoán trúng phóc là hút hầm câu,nghe tiếng sình sịch xa xa thì đoán trúng phóc là hút hầm cầu,0.1429,0.1429
TRÁN GIÔ, Tráng dô,"tráng dồ.
",trán giô,tráng dô,tráng dồ,1,1
LÀM ĐƯỜNG DÂY ĐỂ NỐI CÁC MẢNH ĐỜI, làm đường dây để nối các mảnh đời.,"Tạo kết nối, hiểu nhau.",làm đường dây để nối các mảnh đời,làm đường dây để nối các mảnh đời,tạo kết nối hiểu nhau,0,0.875
CUỐI CÙNG HỌ DẪN NHAU VỀ NHÀ VỚI THÚNG LÀN KHÔNG, Cuối cùng họ dẫn nhau về nhà với thúng làn không?,Cuối cùng họ dẫn nhau về nhà với thúng làn không?,cuối cùng họ dẫn nhau về nhà với thúng làn không,cuối cùng họ dẫn nhau về nhà với thúng làn không?,cuối cùng họ dẫn nhau về nhà với thúng làn không?,0.0909,0.0909
HỌ THÍCH NGHI VỚI VĂN HÓA CÔNG TY NHƯ THẾ NÀO, Họ thay nghi với văn hóa công ty như thế nào?,Họ thích nghi với văn hóa công ty như thế nào?,họ thích nghi với văn hóa công ty như thế nào,họ thay nghi với văn hóa công ty như thế nào?,họ thích nghi với văn hóa công ty như thế nào?,0.1818,0.0909
NGHĨA LÀ NẾU BẠN ĐANG LÀM VIỆC DƯỚI QUYỀN MỘT GIÁM SÁT VIÊN, Nghĩa là nếu bạn đang làm việc dưới quyền một giám sát viên,nghĩa là nếu bạn đang làm việc dưới quyền một giám sát viên?,nghĩa là nếu bạn đang làm việc dưới quyền một giám sát viên,nghĩa là nếu bạn đang làm việc dưới quyền một giám sát viên,nghĩa là nếu bạn đang làm việc dưới quyền một giám sát viên?,0,0.0769
PHIM MỚI CỦA TRƯƠNG NGHỆ MƯU SỰ TRỞ LẠI DÒNG PHIM NGHỆ THUẬT, Phim mới của Trương Nghệ mưu sự trở lại dòng phim nghệ thuật,Phim mới của Trương Nghệ Mưu sự trở lại dòng phim nghệ thuật.,phim mới của trương nghệ mưu sự trở lại dòng phim nghệ thuật,phim mới của trương nghệ mưu sự trở lại dòng phim nghệ thuật,phim mới của trương nghệ mưu sự trở lại dòng phim nghệ thuật,0,0
HÌNH THỨC KỶ LUẬT NÀO CŨNG CHỈ CÓ TÍNH ĐỊNH HƯỚNG RĂN ĐE, Hình thức kỷ luật nào cũng chỉ có tính định hướng răn đe.,"Hình thức kỷ luật nào cũng chỉ có tính định hướng răn đe.
",hình thức kỷ luật nào cũng chỉ có tính định hướng răn đe,hình thức kỷ luật nào cũng chỉ có tính định hướng răn đe,hình thức kỷ luật nào cũng chỉ có tính định hướng răn đe,0,0
BẮT ĐẦU CUỘC CHẠY ĐUA MÙA KINH DOANH TẾT GIỮA BÁNH NỘI VÀ BÁNH NGOẠI, Bắt đầu cuộc chạy đua mùa kinh doanh Tết giữa bánh nội và bánh ngoại,Bắt đầu cuộc chạy đua mùa kinh doanh Tết giữa bánh nội và bánh ngoại.,bắt đầu cuộc chạy đua mùa kinh doanh tết giữa bánh nội và bánh ngoại,bắt đầu cuộc chạy đua mùa kinh doanh tết giữa bánh nội và bánh ngoại,bắt đầu cuộc chạy đua mùa kinh doanh tết giữa bánh nội và bánh ngoại,0,0
TRÊN THỰC TẾ MỘT CUỘC ĐIỀU TRA ĐÃ ĐƯỢC TIẾN HÀNH," Trên thực tế, một cuộc điều tra đã được tiến hành.","Trên thực tế, một cuộc điều tra đã được tiến hành.
",trên thực tế một cuộc điều tra đã được tiến hành,trên thực tế một cuộc điều tra đã được tiến hành,trên thực tế một cuộc điều tra đã được tiến hành,0,0
TRÊN CƠ SỞ ĐÓ NHỮNG HÀNH VI VI PHẠM SẼ ĐƯỢC XỬ LÝ NGHIÊM," Trên cơ sở đó, những hành vi vi phạm sẽ được xử lý nghiêm","Trên cơ sở đó, những hành vi vi phạm sẽ được xử lý nghiêm.
",trên cơ sở đó những hành vi vi phạm sẽ được xử lý nghiêm,trên cơ sở đó những hành vi vi phạm sẽ được xử lý nghiêm,trên cơ sở đó những hành vi vi phạm sẽ được xử lý nghiêm,0,0
NẰM TRÊN GIƯỜNG GẦN CẢ THÁNG BẤT GIÁC TÔI CẢM THẤY MÌNH THẬT CÔ ĐỘC," Nằm trên giường gần cả tháng, bất chợ tôi cảm thấy mình thật cô độc","Nằm trên giường gần cả tháng, bất chợt tôi cảm thấy mình thật cô độc.
",nằm trên giường gần cả tháng bất giác tôi cảm thấy mình thật cô độc,nằm trên giường gần cả tháng bất chợ tôi cảm thấy mình thật cô độc,nằm trên giường gần cả tháng bất chợt tôi cảm thấy mình thật cô độc,0.0667,0.0667
CÒN HÀNG TRĂM CHIẾC KHÁC ĐÃ BÁN THÌ ÔNG KHÔNG NHỚ HẾT, Còn hàng trăm chiếc khác đã bán thì ông không nhớ hết,"Còn hàng trăm chiếc khác đã bán thì ông không nhớ hết.
",còn hàng trăm chiếc khác đã bán thì ông không nhớ hết,còn hàng trăm chiếc khác đã bán thì ông không nhớ hết,còn hàng trăm chiếc khác đã bán thì ông không nhớ hết,0,0
HỌ KHÔNG BIẾT CHƠI PHÒNG NGỰ LÀ GÌ TRỪ KHI BỊ ĐỐI THỦ VÂY ÉP, Họ không biết chơi phòng ngự là gì trừ khi bị đối thủ vây ép,Họ không biết chơi phòng ngự là gì trừ khi bị đối thủ vây ép.,họ không biết chơi phòng ngự là gì trừ khi bị đối thủ vây ép,họ không biết chơi phòng ngự là gì trừ khi bị đối thủ vây ép,họ không biết chơi phòng ngự là gì trừ khi bị đối thủ vây ép,0,0
KẼM CÓ NHIỀU TRONG GAN SÒ THỊT ĐỎ CÁ ÓC TRỨNG," Kẹm quá nhiều trong gan, sò, thịt đỏ, cá, ốc, trứng","Kẽm có nhiều trong gan, sò, thịt đỏ, cá, ốc, trứng.",kẽm có nhiều trong gan sò thịt đỏ cá óc trứng,kẹm quá nhiều trong gan sò thịt đỏ cá ốc trứng,kẽm có nhiều trong gan sò thịt đỏ cá ốc trứng,0.2727,0.0909
ĐIỀU NÀY KHÓ HƠN KHI BẠN VÀO BÀN TIỆC TOÀN NGƯỜI XA LẠ, Điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ,Điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ.,điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ,điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ,điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ,0,0
THÀNH MỘT CHIẾC LỒNG ĐÈN KHỔNG LỒ TẠI CÔNG VIÊN Ở THỦ ĐÔ BẮC KINH, thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô Bắc Kinh.,Thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô Bắc Kinh.,thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô bắc kinh,thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô bắc kinh,thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô bắc kinh,0,0
CHẲNG LẼ ĂN CƠM NHÀ NGƯỜI MÀ LẠI KHÔNG CHĂM CHÚ LẮNG NGHE NGƯỜI NÓI, Chẳng lẽ ăn cơm nhà người mà lại không chăm chú nắng nghe người nói,"Chẳng lẽ ăn cơm nhà người mà lại không chăm chú lắng nghe người nói?
",chẳng lẽ ăn cơm nhà người mà lại không chăm chú lắng nghe người nói,chẳng lẽ ăn cơm nhà người mà lại không chăm chú nắng nghe người nói,chẳng lẽ ăn cơm nhà người mà lại không chăm chú lắng nghe người nói?,0.0667,0.0667
CÁI NHÀ HÁT BỊ ĐẬP TAN TÀNH ÔNG KHOÁI LẮM À, Cái nhà hát bị đập tan tình Ông khoái lắm à,"Cái nhà hát bị đập tan tành, ông khoái lắm à?",cái nhà hát bị đập tan tành ông khoái lắm à,cái nhà hát bị đập tan tình ông khoái lắm à,cái nhà hát bị đập tan tành ông khoái lắm à?,0.0909,0.0909
UNG THƯ TỪ MỘT CƠ QUAN KHÁC DI CĂN VÀO HỆ THỐNG HẠCH BẠCH HUYẾT, ung thư từ một cơ quan khác di can vào hệ thống hạch bạch huyết.,Ung thư từ một cơ quan khác di căn vào hệ thống hạch bạch huyết.,ung thư từ một cơ quan khác di căn vào hệ thống hạch bạch huyết,ung thư từ một cơ quan khác di can vào hệ thống hạch bạch huyết,ung thư từ một cơ quan khác di căn vào hệ thống hạch bạch huyết,0.0667,0
CÔNG NHÂN ĐANG THI CÔNG HAI NHÁNH CẦU RẠCH CHIẾC ẢNH THUẬN THẮNG," Công nhân đang thi công 2 nhánh, cầu rạch trước, ảnh thuận thắng.","Công nhân đang thi công hai nhánh cầu Rạch Chiếc, ảnh Thuận Thắng.",công nhân đang thi công hai nhánh cầu rạch chiếc ảnh thuận thắng,công nhân đang thi công hai nhánh cầu rạch trước ảnh thuận thắng,công nhân đang thi công hai nhánh cầu rạch chiếc ảnh thuận thắng,0.0769,0
MẤY NGÀY ĐẦU THÚY HÀ PHẢI NHỜ KIM DẪN ĐI GIỚI THIỆU TRƯỜNG," Mấy ngày đầu, Thúy Hà phải nhờ Kim dẫn đi giới thiệu trường.",Mấy ngày đầu Thúy Hà phải nhờ Kim dẫn đi giới thiệu trường.,mấy ngày đầu thúy hà phải nhờ kim dẫn đi giới thiệu trường,mấy ngày đầu thúy hà phải nhờ kim dẫn đi giới thiệu trường,mấy ngày đầu thúy hà phải nhờ kim dẫn đi giới thiệu trường,0,0
THẢN NHIÊN GIÁ ĐÓ THÌ CHỈ CÓ THỂ LÀM VẬY THÔI, Thả nhiên giá đó thì chỉ có thể làm vậy thôi,Thản nhiên giá đó thì chỉ có thể làm vậy thôi.,thản nhiên giá đó thì chỉ có thể làm vậy thôi,thả nhiên giá đó thì chỉ có thể làm vậy thôi,thản nhiên giá đó thì chỉ có thể làm vậy thôi,0.0909,0
MÔ HÌNH CẤU TRÚC CHỨC NĂNG VÀ KHOA HỌC XÃ HỘI MANG TÍNH GIÁO DỤC," Mô hình cấu trúc, chức năng và khoa học xã hội mang tính giáo dục","Mô hình cấu trúc, chức năng và khoa học xã hội mang tính giáo dục.",mô hình cấu trúc chức năng và khoa học xã hội mang tính giáo dục,mô hình cấu trúc chức năng và khoa học xã hội mang tính giáo dục,mô hình cấu trúc chức năng và khoa học xã hội mang tính giáo dục,0,0
NHẢM NHÍ KHI GIỜ HỌC CHÁN PHÈO BUỒN NGỦ QUÁ Ờ BUỒN NGỦ, Nhạm nhí khi giờ học chán phèo Buồn ngủ quá Ờ buồn ngủ,"nhảm nhí khi giờ học chán phèo, buồn ngủ quá. Ờ buồn ngủ.",nhảm nhí khi giờ học chán phèo buồn ngủ quá ờ buồn ngủ,nhạm nhí khi giờ học chán phèo buồn ngủ quá ờ buồn ngủ,nhảm nhí khi giờ học chán phèo buồn ngủ quá ờ buồn ngủ,0.0769,0
CHẮC SẮP TỚI THU XẾP ĐI DU LỊCH THÔI, Chắc sắp tới thu sếp đi du lịch thôi,Chắc sắp tới thu xếp đi du lịch thôi.,chắc sắp tới thu xếp đi du lịch thôi,chắc sắp tới thu sếp đi du lịch thôi,chắc sắp tới thu xếp đi du lịch thôi,0.1111,0
VÀ BẠN CẦN CÓ VIỆC LÀM ỔN ĐỊNH VỚI THU NHẬP CAO, Và bạn cần có việc làm ổn định với thu nhập cao,và bạn cần có việc làm ổn định với thu nhập cao.,và bạn cần có việc làm ổn định với thu nhập cao,và bạn cần có việc làm ổn định với thu nhập cao,và bạn cần có việc làm ổn định với thu nhập cao,0,0
MÀU SON TRÔNG THẬT TUYỆT TRÊN BẤT KÌ MÀU DA NÀO, Màu son trông thật tuyệt trên bất kỳ màu da nào,Màu son trông thật tuyệt trên bất kỳ màu da nào.,màu son trông thật tuyệt trên bất kì màu da nào,màu son trông thật tuyệt trên bất kỳ màu da nào,màu son trông thật tuyệt trên bất kỳ màu da nào,0.0909,0.0909
CÒN ANH TRAI TÔI TRONG NHẬT KÝ CỦA MÌNH CŨNG LINH CẢM ĐIỀU ĐÓ, Còn anh trai tôi trong nhật ký của mình cũng linh cảm điều đó.,Còn anh trai tôi trong nhật ký của mình cũng linh cảm điều đó.,còn anh trai tôi trong nhật ký của mình cũng linh cảm điều đó,còn anh trai tôi trong nhật ký của mình cũng linh cảm điều đó,còn anh trai tôi trong nhật ký của mình cũng linh cảm điều đó,0,0
RỒI RƠM RẠ KHÔ THEO THÂN HÌNH GẦY NGẲNG, Rồi gom rã khô theo thân hình dày gặn nhắn,"Rồm rã khô theo thân hình gầy gặt nhẫn.
",rồi rơm rạ khô theo thân hình gầy ngẳng,rồi gom rã khô theo thân hình dày gặn nhắn,rồm rã khô theo thân hình gầy gặt nhẫn,0.5556,0.5556
PHÒNG TRÀ KHIÊU VŨ CÁNH QUẠT CỐI XAY ĐỎ, Vòng trà khi vụ cánh hoạt có say đỏ,"phòng trà khiêu vũ, cánh quạt cối xay đỏ.",phòng trà khiêu vũ cánh quạt cối xay đỏ,vòng trà khi vụ cánh hoạt có say đỏ,phòng trà khiêu vũ cánh quạt cối xay đỏ,0.6667,0
NÓ TRỐN MẤT TIÊU RỒI CÒN ĐÂU, Nó trốn mất tiêu rồi còn đâu?,nó trốn mất tiêu rồi con.,nó trốn mất tiêu rồi còn đâu,nó trốn mất tiêu rồi còn đâu?,nó trốn mất tiêu rồi con,0.1429,0.2857
ĐỂ CÓ THỂ VẬN HÀNH CHÚNG ĐƯỢC HIỆU QUẢ HƠN, để có thể phân hành cho chúng được hiệu quả hơn.,Để có thể vận hành chúng được hiệu quả hơn.,để có thể vận hành chúng được hiệu quả hơn,để có thể phân hành cho chúng được hiệu quả hơn,để có thể vận hành chúng được hiệu quả hơn,0.2,0
LOÁNG THOÁNG TRĂN TRỞ LOÁNG THOÁNG BUỒN VUI, Loan thoáng trăn trở loan thoáng buồn vui.,"Loang thoáng trăn trở, loang thoáng buồn vui.
",loáng thoáng trăn trở loáng thoáng buồn vui,loan thoáng trăn trở loan thoáng buồn vui,loang thoáng trăn trở loang thoáng buồn vui,0.25,0.25
ĐƯỢC MỸ RÁO RIẾT TUNG RA, Được Mỹ ra quyết tung ra.,được Mỹ ra quyết tung ra. Ừ.,được mỹ ráo riết tung ra,được mỹ ra quyết tung ra,được mỹ ra quyết tung ra ừ,0.3333,0.5
THÚ THẬT TUI CHƯA TỪNG CHƠI GÁI, Thú thật tôi chưa từng chơi gái.,"Thú thật tôi chưa từng chơi gái.
",thú thật tui chưa từng chơi gái,thú thật tôi chưa từng chơi gái,thú thật tôi chưa từng chơi gái,0.1429,0.1429
ĐƯỢC CẮT TỪ VỎ CHĂN BỘ ĐỘI CŨ CỦA CÁC ÔNG BỐ RA, được cắt từ võ trang bộ đội cũ của các ông bố ra.,Được các từ võ chăng bộ đội cũ của các ông bố ra.,được cắt từ vỏ chăn bộ đội cũ của các ông bố ra,được cắt từ võ trang bộ đội cũ của các ông bố ra,được các từ võ chăng bộ đội cũ của các ông bố ra,0.1538,0.2308
NGÀY CĂN BẬC HAI CHỈ DIỄN RA CHÍN LẦN TRONG MỘT THẾ KỶ, Ngày căn bật 2 chỉ diễn ra 9 lần trong 1 thế kỷ.,Ngày căn bậc hai chỉ diễn ra chín lần trong một thế kỷ.,ngày căn bậc hai chỉ diễn ra chín lần trong một thế kỷ,ngày căn bật hai chỉ diễn ra chín lần trong một thế kỷ,ngày căn bậc hai chỉ diễn ra chín lần trong một thế kỷ,0.0769,0
NĂM MƯƠI NĂM MƯƠI MỐT, 50-51,"50 51
",năm mươi năm mươi mốt,năm mươi-năm mươi mốt,năm mươi năm mươi mốt,0.4,0
MƯỜI MỘT MƯỜI HAI MƯỜI BA," 11, 12, 13","11 12 13
",mười một mười hai mười ba,mười một mười hai mười ba,mười một mười hai mười ba,0,0
TRỨNG MỰC QUYẾN RŨ CÁC NGƯ DÂN, Trứng mật quyến rộ các ngư dân,Chứng mực quyến rũ các ngươi linh.,trứng mực quyến rũ các ngư dân,trứng mật quyến rộ các ngư dân,chứng mực quyến rũ các ngươi linh,0.2857,0.4286
VÌ LƯỢNG CA KHÚC MỚI QUÁ NHIỀU, Vì lượng ca khúc mới quá nhiều,Vì lượng ca khúc mới quá nhiều.,vì lượng ca khúc mới quá nhiều,vì lượng ca khúc mới quá nhiều,vì lượng ca khúc mới quá nhiều,0,0
THỊT NGỌT LỪ ẤY LẠI MANG THEO TRÙNG SÁN GÂY BỆNH, Thịt ngọt lừa ấy lại mang trùng sáng ngay bệnh,thật ngọt lừ ấy lại mang trùng sáng gây bệnh.,thịt ngọt lừ ấy lại mang theo trùng sán gây bệnh,thịt ngọt lừa ấy lại mang trùng sáng ngay bệnh,thật ngọt lừ ấy lại mang trùng sáng gây bệnh,0.3636,0.2727
